"TIMESTAMP","DURATION_MS","PROTOCOL","EVENT","FROM","TO","TIMESLOT","COLOR_CODE","ALGORITHM","KEY","DETAILS"
"2025:05:12:16:17:13","","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","56","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","351","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","701","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","1097","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","1449","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","1793","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","2151","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","2498","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","2897","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","3002","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","3296","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","3651","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","4050","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","4400","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","4747","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","5099","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","5449","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","5851","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","6199","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","6547","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","6896","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:13","7000","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:20","","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:20","51","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:20","350","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:20","698","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:20","848","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:52","","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:52","57","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:52","355","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:52","709","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:52","1057","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:52","1403","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:52","1555","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:54","","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:54","54","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:54","303","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:54","704","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:54","1060","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:54","1454","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:54","1797","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:54","2135","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:54","2234","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:59","","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:59","53","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:59","342","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:59","696","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:59","1095","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:59","1452","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:59","1851","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:59","2153","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:59","2500","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:17:59","2647","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:18:03","","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:18:03","44","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:18:03","351","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:18:03","490","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:18:03","543","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:18:03","852","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:18:03","1201","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:18:03","1552","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:18:03","1692","DMR","Group Call","1","602","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:21:40","","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:21:40","","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:21:40","300","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:21:40","656","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:21:40","1043","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:21:40","1411","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
"2025:05:12:16:21:40","1748","DMR","Group Call","2","601","TS:1","1","","","SERVICE OPTIONS []"
