TIMESTAMP,DURATION_MS,PROTOCOL,EVENT,FROM,TO,CHANNEL_NUMBER,FREQUENCY,TIMESLOT,DETAILS,EVENT_ID
"2025:05:12:15:20:13","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1136023321"
"2025:05:12:15:20:13","352","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1136023321"
"2025:05:12:15:20:13","745","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1136023321"
"2025:05:12:15:20:13","802","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1136023321"
"2025:05:12:15:20:15","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1299296543"
"2025:05:12:15:20:15","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1299296543"
"2025:05:12:15:20:15","298","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1299296543"
"2025:05:12:15:20:15","646","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1299296543"
"2025:05:12:15:20:15","1018","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1299296543"
"2025:05:12:15:20:15","1404","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1299296543"
"2025:05:12:15:20:15","1754","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1299296543"
"2025:05:12:15:20:15","2096","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1299296543"
"2025:05:12:15:20:15","2505","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1299296543"
"2025:05:12:15:20:15","2855","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1299296543"
"2025:05:12:15:20:15","3202","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1299296543"
"2025:05:12:15:20:15","3354","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1299296543"
"2025:05:12:15:20:19","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1229864041"
"2025:05:12:15:20:19","91","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1229864041"
"2025:05:12:15:20:19","353","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1229864041"
"2025:05:12:15:20:19","749","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1229864041"
"2025:05:12:15:20:19","1098","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1229864041"
"2025:05:12:15:20:19","1449","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1229864041"
"2025:05:12:15:20:19","1547","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1229864041"
"2025:05:12:15:20:21","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","206355236"
"2025:05:12:15:20:21","102","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","206355236"
"2025:05:12:15:20:21","400","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","206355236"
"2025:05:12:15:20:21","739","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","206355236"
"2025:05:12:15:20:21","1059","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","206355236"
"2025:05:12:15:20:21","1437","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","206355236"
"2025:05:12:15:20:21","1796","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","206355236"
"2025:05:12:15:20:21","2167","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","206355236"
"2025:05:12:15:20:21","2295","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","206355236"
"2025:05:12:15:21:21","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","2100505387"
"2025:05:12:15:21:21","347","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","2100505387"
"2025:05:12:15:21:21","747","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","2100505387"
"2025:05:12:15:21:21","1099","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","2100505387"
"2025:05:12:15:21:21","1440","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","2100505387"
"2025:05:12:15:21:21","1771","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","2100505387"
"2025:05:12:15:21:21","1934","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","2100505387"
"2025:05:12:15:21:26","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1024103643"
"2025:05:12:15:21:26","108","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1024103643"
"2025:05:12:15:21:26","368","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1024103643"
"2025:05:12:15:21:26","719","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1024103643"
"2025:05:12:15:21:26","1098","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1024103643"
"2025:05:12:15:21:26","1457","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1024103643"
"2025:05:12:15:21:26","1810","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1024103643"
"2025:05:12:15:21:26","2160","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1024103643"
"2025:05:12:15:21:26","2308","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1024103643"
"2025:05:12:15:22:47","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","94329447"
"2025:05:12:15:22:47","90","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","94329447"
"2025:05:12:15:22:47","354","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","94329447"
"2025:05:12:15:22:47","746","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","94329447"
"2025:05:12:15:22:47","1102","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","94329447"
"2025:05:12:15:22:47","1498","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","94329447"
"2025:05:12:15:22:47","1796","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","94329447"
"2025:05:12:15:22:47","2189","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","94329447"
"2025:05:12:15:22:47","2550","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","94329447"
"2025:05:12:15:22:47","2644","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","94329447"
