TIMESTAMP,DURATION_MS,PROTOCOL,EVENT,FROM,TO,CHANNEL_NUMBER,FREQUENCY,TIMESLOT,DETAILS,EVENT_ID
"2025:05:12:10:16:59","488","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1880495969"
"2025:05:12:10:17:02","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","2140206773"
"2025:05:12:10:17:02","53","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","2140206773"
"2025:05:12:10:17:02","370","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","2140206773"
"2025:05:12:10:17:02","701","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","2140206773"
"2025:05:12:10:17:02","1060","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","2140206773"
"2025:05:12:10:17:02","1481","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","2140206773"
"2025:05:12:10:17:02","1812","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","2140206773"
"2025:05:12:10:17:02","1903","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","2140206773"
"2025:05:12:10:17:04","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1536261180"
"2025:05:12:10:17:04","91","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1536261180"
"2025:05:12:10:17:04","384","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1536261180"
"2025:05:12:10:17:04","754","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1536261180"
"2025:05:12:10:17:04","1110","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1536261180"
"2025:05:12:10:17:04","1211","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1536261180"
"2025:05:12:10:19:51","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1463341857"
"2025:05:12:10:19:51","78","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1463341857"
"2025:05:12:10:19:51","333","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1463341857"
"2025:05:12:10:19:51","714","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1463341857"
"2025:05:12:10:19:51","1100","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1463341857"
"2025:05:12:10:19:51","1814","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1463341857"
"2025:05:12:10:19:51","1916","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","1463341857"
"2025:05:12:10:19:54","","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","391478200"
"2025:05:12:10:19:54","40","DMR","Group Call","1","","1 426.15","426.150000","TS:1","SERVICE OPTIONS []","391478200"
